x,radius
0.0185,0.0325
0.0186,0.0325
0.0187,0.0325
0.0188,0.0325
0.0189,0.0325
0.019,0.0325
0.0191,0.0325
0.0192,0.0325
0.0193,0.0325
0.0194,0.0325
0.0195,0.0325
0.0196,0.0325
0.0197,0.0325
0.0198,0.0325
0.0199,0.0325
0.02,0.0325
0.0201,0.0325
0.0202,0.0325
0.0203,0.0325
0.0204,0.0325
0.0205,0.0325
0.0206,0.0325
0.0207,0.0325
0.0208,0.0325
0.0209,0.0325
0.021,0.0325
0.0211,0.0325
0.0212,0.0325
0.0213,0.0325
0.0214,0.0325
0.0215,0.0325
0.0216,0.0325
0.0217,0.0325
0.0218,0.0325
0.0219,0.0325
0.022,0.0325
0.0221,0.0325
0.0222,0.0325
0.0223,0.0325
0.0224,0.0325
0.0225,0.0325
0.0226,0.0325
0.0227,0.0325
0.0228,0.0325
0.0229,0.0325
0.023,0.0325
0.0231,0.0325
0.0232,0.0325
0.0233,0.0325
0.0234,0.0325
0.0235,0.0325
0.0236,0.0325
0.0237,0.0325
0.0238,0.0325
0.0239,0.0325
0.024,0.0325
0.0241,0.0325
0.0242,0.0325
0.0243,0.0325
0.0244,0.0325
0.0245,0.0325
0.0246,0.0325
0.0247,0.0325
0.0248,0.0325
0.0249,0.0325
0.025,0.0325
0.0251,0.0325
0.0252,0.032499
0.0253,0.032499
0.0254,0.032499
0.0255,0.032498
0.0256,0.032497
0.0257,0.032496
0.0258,0.032495
0.0259,0.032494
0.026,0.032493
0.0261,0.032492
0.0262,0.03249
0.0263,0.032489
0.0264,0.032487
0.0265,0.032485
0.0266,0.032483
0.0267,0.032481
0.0268,0.032479
0.0269,0.032477
0.027,0.032475
0.0271,0.032472
0.0272,0.03247
0.0273,0.032467
0.0274,0.032464
0.0275,0.032461
0.027599,0.032458
0.027699,0.032455
0.027799,0.032452
0.027899,0.032448
0.027999,0.032445
0.028099,0.032441
0.028199,0.032437
0.028299,0.032434
0.028399,0.03243
0.028499,0.032425
0.028599,0.032421
0.028699,0.032417
0.028799,0.032412
0.028898,0.032408
0.028998,0.032403
0.029098,0.032398
0.029198,0.032394
0.029298,0.032389
0.029398,0.032383
0.029498,0.032378
0.029598,0.032373
0.029697,0.032367
0.029797,0.032362
0.029897,0.032356
0.029997,0.03235
0.030097,0.032344
0.030197,0.032338
0.030296,0.032332
0.030396,0.032325
0.030496,0.032319
0.030596,0.032312
0.030696,0.032306
0.030795,0.032299
0.030895,0.032292
0.030995,0.032285
0.031095,0.032278
0.031194,0.03227
0.031294,0.032263
0.031394,0.032256
0.031493,0.032248
0.031593,0.03224
0.031693,0.032232
0.031793,0.032224
0.031892,0.032216
0.031992,0.032208
0.032091,0.0322
0.032191,0.032191
0.032291,0.032183
0.03239,0.032174
0.03249,0.032165
0.03259,0.032156
0.032689,0.032147
0.032789,0.032138
0.032888,0.032129
0.032988,0.032119
0.033087,0.03211
0.033187,0.0321
0.033286,0.03209
0.033386,0.03208
0.033485,0.03207
0.033585,0.03206
0.033684,0.03205
0.033784,0.032039
0.033883,0.032029
0.033983,0.032018
0.034082,0.032007
0.034182,0.031996
0.034281,0.031985
0.03438,0.031974
0.03448,0.031963
0.034579,0.031952
0.034678,0.03194
0.034778,0.031929
0.034877,0.031917
0.034976,0.031905
0.035076,0.031893
0.035175,0.031881
0.035274,0.031869
0.035373,0.031856
0.035473,0.031844
0.035572,0.031831
0.035671,0.031818
0.03577,0.031806
0.035869,0.031793
0.035968,0.031779
0.036068,0.031766
0.036167,0.031753
0.036266,0.031739
0.036365,0.031726
0.036464,0.031712
0.036563,0.031698
0.036662,0.031684
0.036761,0.03167
0.03686,0.031656
0.036959,0.031642
0.037058,0.031627
0.037157,0.031612
0.037256,0.031598
0.037355,0.031583
0.037453,0.031568
0.037552,0.031553
0.037651,0.031538
0.03775,0.031522
0.037849,0.031507
0.037947,0.031491
0.038046,0.031475
0.038145,0.031459
0.038244,0.031443
0.038342,0.031427
0.038441,0.031411
0.03854,0.031395
0.038638,0.031378
0.038737,0.031362
0.038835,0.031345
0.038934,0.031328
0.039033,0.031311
0.039131,0.031294
0.03923,0.031276
0.039328,0.031259
0.039427,0.031241
0.039525,0.031224
0.039623,0.031206
0.039722,0.031188
0.03982,0.03117
0.039918,0.031152
0.040017,0.031134
0.040115,0.031115
0.040213,0.031096
0.040312,0.031078
0.04041,0.031059
0.040508,0.03104
0.040606,0.031021
0.040704,0.031002
0.040802,0.030982
0.0409,0.030963
0.040998,0.030943
0.041096,0.030923
0.041194,0.030903
0.041292,0.030883
0.04139,0.030863
